image,instrument,intensity,filepath
Acc-ord-G#4-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G#4-pp-alt2-N.png
Acc-ord-G#2-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G#2-mf-N-N.png
Acc-ord-E5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E5-mf-alt4-N.png
Acc-ord-C4-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C4-ff-alt1-N.png
Acc-ord-C7-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C7-pp-alt1-N.png
Acc-ord-C#5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#5-pp-N-N.png
Acc-ord-D#3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D#3-pp-N-N.png
Acc-ord-E4-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E4-mf-alt4-N.png
Acc-ord-A#5-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A#5-ff-alt2-N.png
Acc-ord-A#3-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A#3-ff-alt1-N.png
Acc-ord-B3-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-B3-pp-alt2-N.png
Acc-ord-E7-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-E7-ff-N-N.png
Acc-ord-D#3-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D#3-mf-alt1-N.png
Acc-ord-E5-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-E5-ff-N-N.png
Acc-ord-E6-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-E6-ff-N-N.png
Acc-ord-A#2-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#2-mf-alt1-N.png
Acc-ord-C#7-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C#7-mf-N-N.png
Acc-ord-G6-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G6-pp-alt2-N.png
Acc-ord-D#4-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D#4-ff-alt1-N.png
Acc-ord-E2-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E2-mf-alt2-N.png
Acc-ord-E3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E3-pp-N-N.png
Acc-ord-B5-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-B5-ff-N-N.png
Acc-ord-C#4-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C#4-mf-alt4-N.png
Acc-ord-B2-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B2-mf-alt3-N.png
Acc-ord-F#7-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F#7-pp-N-N.png
Acc-ord-E3-mf-alt5-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E3-mf-alt5-N.png
Acc-ord-F#3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F#3-pp-N-N.png
Acc-ord-D4-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D4-ff-alt1-N.png
Acc-ord-C#8-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C#8-mf-N-N.png
Acc-ord-E4-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E4-pp-N-N.png
Acc-ord-E3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E3-pp-N-N.png
Acc-ord-D#7-p-N-N.png,Accordion,p,mel_spectrograms/Acc-ord-D#7-p-N-N.png
Acc-ord-F#4-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#4-mf-alt1-N.png
Acc-ord-E5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E5-mf-alt4-N.png
Acc-ord-F4-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F4-pp-alt1-N.png
Acc-ord-D#6-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D#6-ff-alt2-N.png
Acc-ord-G#6-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G#6-ff-alt1-N.png
Acc-ord-B2-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B2-mf-alt1-N.png
Acc-ord-C#5-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C#5-ff-alt1-N.png
Acc-ord-F3-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F3-pp-alt1-N.png
Acc-ord-A6-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A6-mf-alt1-N.png
Acc-ord-E6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E6-pp-N-N.png
Acc-ord-A4-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A4-mf-alt3-N.png
Acc-ord-C#7-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C#7-ff-N-N.png
Acc-ord-C2-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C2-mf-alt1-N.png
Acc-ord-G#3-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G#3-pp-alt1-N.png
Acc-ord-E2-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E2-mf-N-N.png
Acc-ord-E4-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E4-mf-alt4-N.png
Acc-ord-D5-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D5-mf-alt1-N.png
Acc-ord-B3-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-B3-ff-alt2-N.png
Acc-ord-D7-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D7-ff-alt1-N.png
Acc-ord-D5-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D5-pp-alt2-N.png
Acc-ord-F#4-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#4-mf-alt2-N.png
Acc-ord-D#2-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D#2-pp-N-N.png
Acc-ord-G5-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G5-mf-alt2-N.png
Acc-ord-C5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C5-pp-N-N.png
Acc-ord-C#4-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#4-pp-N-N.png
Acc-ord-A3-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A3-ff-N-N.png
Acc-ord-G#6-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G#6-mf-N-N.png
Acc-ord-G#6-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G#6-mf-N-N.png
Acc-ord-F3-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F3-mf-alt4-N.png
Acc-ord-D5-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D5-pp-alt1-N.png
Acc-ord-A#1-ff-N-T12u.png,Accordion,ff,mel_spectrograms/Acc-ord-A#1-ff-N-T12u.png
Acc-ord-D5-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D5-mf-alt1-N.png
Acc-ord-E7-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E7-pp-alt1-N.png
Acc-ord-F#6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F#6-pp-N-N.png
Acc-ord-F#6-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F#6-ff-alt2-N.png
Acc-ord-D6-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D6-mf-alt3-N.png
Acc-ord-C3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C3-pp-N-N.png
Acc-ord-A4-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A4-ff-alt2-N.png
Acc-ord-G3-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G3-ff-alt1-N.png
Acc-ord-C8-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C8-pp-alt1-N.png
Acc-ord-G#2-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G#2-ff-alt1-N.png
Acc-ord-A#5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#5-mf-alt4-N.png
Acc-ord-A#4-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-A#4-pp-alt2-N.png
Acc-ord-A3-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-A3-pp-alt2-N.png
Acc-ord-D#2-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D#2-pp-N-N.png
Acc-ord-G5-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G5-mf-alt3-N.png
Acc-ord-C#7-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C#7-mf-alt1-N.png
Acc-ord-C4-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C4-mf-N-N.png
Acc-ord-F#7-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F#7-ff-alt1-N.png
Acc-ord-D3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D3-pp-N-N.png
Acc-ord-E5-mf-alt5-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E5-mf-alt5-N.png
Acc-ord-E6-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E6-mf-N-N.png
Acc-ord-C4-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C4-ff-N-N.png
Acc-ord-E7-p-N-N.png,Accordion,p,mel_spectrograms/Acc-ord-E7-p-N-N.png
Acc-ord-F#1-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#1-mf-N-N.png
Acc-ord-F#5-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F#5-ff-alt1-N.png
Acc-ord-B4-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B4-mf-alt1-N.png
Acc-ord-A3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-A3-pp-N-N.png
Acc-ord-C8-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C8-pp-alt1-N.png
Acc-ord-C6-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C6-mf-N-N.png
Acc-ord-E3-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E3-mf-alt2-N.png
Acc-ord-C4-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C4-pp-alt2-N.png
Acc-ord-E6-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E6-mf-alt4-N.png
Acc-ord-D7-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D7-ff-N-N.png
Acc-ord-F5-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F5-mf-alt1-N.png
Acc-ord-A#2-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#2-mf-alt2-N.png
Acc-ord-D2-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D2-mf-alt1-N.png
Acc-ord-A#2-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#2-mf-alt3-N.png
Acc-ord-G4-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G4-ff-alt2-N.png
Acc-ord-F#6-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F#6-pp-alt2-N.png
Acc-ord-E2-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E2-pp-alt1-N.png
Acc-ord-F3-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F3-pp-alt1-N.png
Acc-ord-D3-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D3-mf-alt3-N.png
Acc-ord-F2-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F2-pp-alt1-N.png
Acc-ord-A#6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-A#6-pp-N-N.png
Acc-ord-D#3-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D#3-pp-N-N.png
Acc-ord-B1-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B1-mf-alt1-N.png
Acc-ord-C#4-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C#4-ff-alt2-N.png
Acc-ord-E7-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E7-mf-N-N.png
Acc-ord-D#2-ff-N-T11u.png,Accordion,ff,mel_spectrograms/Acc-ord-D#2-ff-N-T11u.png
Acc-ord-F5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F5-mf-alt4-N.png
Acc-ord-D3-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D3-mf-alt1-N.png
Acc-ord-C#4-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C#4-mf-alt2-N.png
Acc-ord-C6-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C6-ff-alt1-N.png
Acc-ord-G#2-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G#2-pp-alt1-N.png
Acc-ord-F3-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F3-ff-alt1-N.png
Acc-ord-B3-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-B3-pp-alt1-N.png
Acc-ord-A#4-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#4-mf-alt2-N.png
Acc-ord-D4-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D4-mf-alt1-N.png
Acc-ord-A#1-ff-N-T12u.png,Accordion,ff,mel_spectrograms/Acc-ord-A#1-ff-N-T12u.png
Acc-ord-C6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C6-pp-N-N.png
Acc-ord-E5-mf-alt5-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E5-mf-alt5-N.png
Acc-ord-C5-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C5-mf-alt3-N.png
Acc-ord-E1-mf-N-T17u.png,Accordion,mf,mel_spectrograms/Acc-ord-E1-mf-N-T17u.png
Acc-ord-C6-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C6-mf-alt4-N.png
Acc-ord-A4-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A4-ff-alt1-N.png
Acc-ord-A1-ff-N-T22u.png,Accordion,ff,mel_spectrograms/Acc-ord-A1-ff-N-T22u.png
Acc-ord-D#3-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D#3-mf-alt2-N.png
Acc-ord-A#5-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-A#5-pp-alt2-N.png
Acc-ord-C2-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C2-pp-N-N.png
Acc-ord-F4-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F4-ff-N-N.png
Acc-ord-G5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G5-pp-N-N.png
Acc-ord-B7-pp-alt1-T13d.png,Accordion,pp,mel_spectrograms/Acc-ord-B7-pp-alt1-T13d.png
Acc-ord-C#6-mf-alt2-T10d.png,Accordion,mf,mel_spectrograms/Acc-ord-C#6-mf-alt2-T10d.png
Acc-ord-B7-ff-N-T13d.png,Accordion,ff,mel_spectrograms/Acc-ord-B7-ff-N-T13d.png
Acc-ord-F#4-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F#4-pp-alt2-N.png
Acc-ord-D3-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D3-ff-alt1-N.png
Acc-ord-C#2-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#2-pp-N-N.png
Acc-ord-A5-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-A5-pp-alt1-N.png
Acc-ord-B5-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-B5-pp-alt2-N.png
Acc-ord-E1-ff-N-T20u.png,Accordion,ff,mel_spectrograms/Acc-ord-E1-ff-N-T20u.png
Acc-ord-D#2-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D#2-mf-alt1-N.png
Acc-ord-D#5-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D#5-mf-alt1-N.png
Acc-ord-A3-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A3-mf-alt1-N.png
Acc-ord-D#6-ff-alt2-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D#6-ff-alt2-N.png
Acc-ord-G6-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G6-mf-alt1-N.png
Acc-ord-E6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-E6-pp-N-N.png
Acc-ord-A5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A5-mf-alt4-N.png
Acc-ord-G7-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G7-pp-alt1-N.png
Acc-ord-A#6-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-A#6-pp-alt1-N.png
Acc-ord-C8-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C8-pp-N-N.png
Acc-ord-F7-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F7-mf-N-N.png
Acc-ord-E5-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E5-mf-alt1-N.png
Acc-ord-F#2-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F#2-ff-alt1-N.png
Acc-ord-F2-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F2-mf-alt2-N.png
Acc-ord-G4-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G4-pp-N-N.png
Acc-ord-A6-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A6-mf-N-N.png
Acc-ord-B4-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B4-mf-alt1-N.png
Acc-ord-D5-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D5-mf-alt3-N.png
Acc-ord-G6-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G6-mf-alt2-N.png
Acc-ord-G#7-ff-N-T13d.png,Accordion,ff,mel_spectrograms/Acc-ord-G#7-ff-N-T13d.png
Acc-ord-A3-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A3-mf-N-N.png
Acc-ord-E7-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-E7-ff-N-N.png
Acc-ord-G4-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-G4-pp-N-N.png
Acc-ord-F6-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F6-ff-alt1-N.png
Acc-ord-E6-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E6-mf-N-N.png
Acc-ord-F6-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F6-pp-N-N.png
Acc-ord-G#5-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-G#5-ff-alt1-N.png
Acc-ord-G#5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G#5-mf-alt4-N.png
Acc-ord-D#4-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D#4-pp-alt1-N.png
Acc-ord-D5-pp-alt2-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D5-pp-alt2-N.png
Acc-ord-F1-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F1-pp-N-N.png
Acc-ord-E4-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E4-mf-alt2-N.png
Acc-ord-B2-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-B2-pp-N-N.png
Acc-ord-F2-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F2-mf-N-N.png
Acc-ord-F#3-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-F#3-ff-N-N.png
Acc-ord-B7-pp-alt1-T13d.png,Accordion,pp,mel_spectrograms/Acc-ord-B7-pp-alt1-T13d.png
Acc-ord-A3-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-A3-ff-N-N.png
Acc-ord-A7-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A7-mf-N-N.png
Acc-ord-C5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C5-pp-N-N.png
Acc-ord-G#5-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G#5-mf-alt1-N.png
Acc-ord-B7-pp-alt1-T13d.png,Accordion,pp,mel_spectrograms/Acc-ord-B7-pp-alt1-T13d.png
Acc-ord-D#5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D#5-mf-alt4-N.png
Acc-ord-D#7-ff-alt1-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D#7-ff-alt1-N.png
Acc-ord-F#6-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#6-mf-alt2-N.png
Acc-ord-C#5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#5-pp-N-N.png
Acc-ord-D6-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-D6-ff-N-N.png
Acc-ord-A#3-mf-alt3-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#3-mf-alt3-N.png
Acc-ord-E7-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E7-mf-N-N.png
Acc-ord-D#5-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-D#5-pp-alt1-N.png
Acc-ord-A#7-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A#7-mf-N-N.png
Acc-ord-C#5-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-C#5-mf-alt4-N.png
Acc-ord-F#5-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F#5-mf-alt1-N.png
Acc-ord-G#1-ff-N-T16u.png,Accordion,ff,mel_spectrograms/Acc-ord-G#1-ff-N-T16u.png
Acc-ord-F1-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F1-pp-N-N.png
Acc-ord-C6-pp-alt1-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C6-pp-alt1-N.png
Acc-ord-A3-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-A3-mf-alt1-N.png
Acc-ord-G#4-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-G#4-mf-alt1-N.png
Acc-ord-E5-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-E5-mf-N-N.png
Acc-ord-B2-mf-alt1-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B2-mf-alt1-N.png
Acc-ord-B4-mf-alt2-N.png,Accordion,mf,mel_spectrograms/Acc-ord-B4-mf-alt2-N.png
Acc-ord-D4-mf-alt4-N.png,Accordion,mf,mel_spectrograms/Acc-ord-D4-mf-alt4-N.png
Acc-ord-F4-mf-N-N.png,Accordion,mf,mel_spectrograms/Acc-ord-F4-mf-N-N.png
Acc-ord-F#7-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-F#7-pp-N-N.png
Acc-ord-C5-ff-N-N.png,Accordion,ff,mel_spectrograms/Acc-ord-C5-ff-N-N.png
Acc-ord-C#5-pp-N-N.png,Accordion,pp,mel_spectrograms/Acc-ord-C#5-pp-N-N.png
