filename,label
guitar/guitar__020__[gel][dru][pop_roc]0939__2.png,guitar
guitar/guitar__020__[gel][dru][pop_roc]0939__3.png,guitar
guitar/guitar__023__[gel][dru][pop_roc]0855__1.png,guitar
guitar/guitar__023__[gel][dru][pop_roc]0855__2.png,guitar
guitar/guitar__023__[gel][dru][pop_roc]0855__3.png,guitar
guitar/guitar__025__[gel][dru][jaz_blu]0806__1.png,guitar
guitar/guitar__025__[gel][dru][jaz_blu]0806__2.png,guitar
guitar/guitar__025__[gel][dru][jaz_blu]0806__3.png,guitar
guitar/guitar__026__[gel][dru][pop_roc]0856__1.png,guitar
guitar/guitar__026__[gel][dru][pop_roc]0856__2.png,guitar
guitar/guitar__026__[gel][dru][pop_roc]0856__3.png,guitar
guitar/guitar__028__[gel][dru][pop_roc]0930__1.png,guitar
guitar/guitar__028__[gel][dru][pop_roc]0930__2.png,guitar
guitar/guitar__028__[gel][dru][pop_roc]0930__3.png,guitar
guitar/guitar__031__[gel][dru][pop_roc]0974__1.png,guitar
guitar/guitar__031__[gel][dru][pop_roc]0974__2.png,guitar
guitar/guitar__031__[gel][dru][pop_roc]0974__3.png,guitar
guitar/guitar__032__[gel][dru][pop_roc]0834__1.png,guitar
guitar/guitar__032__[gel][dru][pop_roc]0834__2.png,guitar
guitar/guitar__032__[gel][dru][pop_roc]0834__3.png,guitar
guitar/guitar__034__[gel][dru][pop_roc]0965__1.png,guitar
guitar/guitar__034__[gel][dru][pop_roc]0965__2.png,guitar
guitar/guitar__034__[gel][dru][pop_roc]0965__3.png,guitar
guitar/guitar__036__[gel][dru][jaz_blu]0785__1.png,guitar
guitar/guitar__036__[gel][dru][jaz_blu]0785__2.png,guitar
guitar/guitar__036__[gel][dru][jaz_blu]0785__3.png,guitar
guitar/guitar__040__[gac][nod][cou_fol]0713__1.png,guitar
guitar/guitar__040__[gac][nod][cou_fol]0713__2.png,guitar
guitar/guitar__041__[gel][dru][cou_fol]0759__1.png,guitar
guitar/guitar__041__[gel][dru][cou_fol]0759__2.png,guitar
guitar/guitar__041__[gel][dru][cou_fol]0759__3.png,guitar
guitar/guitar__042__[gel][dru][pop_roc]0849__1.png,guitar
guitar/guitar__042__[gel][dru][pop_roc]0849__2.png,guitar
guitar/guitar__042__[gel][dru][pop_roc]0849__3.png,guitar
guitar/guitar__044__[gel][dru][pop_roc]0951__1.png,guitar
guitar/guitar__044__[gel][dru][pop_roc]0951__2.png,guitar
guitar/guitar__044__[gel][dru][pop_roc]0951__3.png,guitar
guitar/guitar__045__[gac][nod][jaz_blu]0823__1.png,guitar
guitar/guitar__045__[gac][nod][jaz_blu]0823__2.png,guitar
guitar/guitar__045__[gac][nod][jaz_blu]0823__3.png,guitar
guitar/guitar__045__[gel][dru][cou_fol]0744__1.png,guitar
guitar/guitar__045__[gel][dru][cou_fol]0744__2.png,guitar
guitar/guitar__045__[gel][dru][cou_fol]0744__3.png,guitar
guitar/guitar__046__[gac][dru][cou_fol]0709__1.png,guitar
guitar/guitar__046__[gac][dru][cou_fol]0709__2.png,guitar
guitar/guitar__046__[gac][dru][cou_fol]0709__3.png,guitar
guitar/guitar__047__[gel][dru][pop_roc]0947__1.png,guitar
guitar/guitar__047__[gel][dru][pop_roc]0947__2.png,guitar
guitar/guitar__047__[gel][dru][pop_roc]0947__3.png,guitar
guitar/guitar__048__[gel][dru][pop_roc]0929__1.png,guitar
guitar/guitar__048__[gel][dru][pop_roc]0929__2.png,guitar
guitar/guitar__048__[gel][dru][pop_roc]0929__3.png,guitar
guitar/guitar__050__[gel][dru][pop_roc]0860__1.png,guitar
guitar/guitar__050__[gel][dru][pop_roc]0860__2.png,guitar
guitar/guitar__050__[gel][dru][pop_roc]0860__3.png,guitar
guitar/guitar__051__[gac][dru][pop_roc]0624__1.png,guitar
guitar/guitar__051__[gac][dru][pop_roc]0624__2.png,guitar
guitar/guitar__051__[gac][dru][pop_roc]0624__3.png,guitar
guitar/guitar__052__[gac][nod][cou_fol]0769__1.png,guitar
guitar/guitar__052__[gac][nod][cou_fol]0769__2.png,guitar
guitar/guitar__052__[gac][nod][cou_fol]0769__3.png,guitar
guitar/guitar__052__[gel][dru][pop_roc]0963__1.png,guitar
guitar/guitar__052__[gel][dru][pop_roc]0963__2.png,guitar
guitar/guitar__052__[gel][dru][pop_roc]0963__3.png,guitar
guitar/guitar__054__[gac][dru][cou_fol]0763__1.png,guitar
guitar/guitar__054__[gac][dru][cou_fol]0763__2.png,guitar
guitar/guitar__054__[gac][dru][cou_fol]0763__3.png,guitar
guitar/guitar__056__[gel][nod][jaz_blu]0794__1.png,guitar
guitar/guitar__056__[gel][nod][jaz_blu]0794__2.png,guitar
guitar/guitar__056__[gel][nod][jaz_blu]0794__3.png,guitar
guitar/guitar__057__[gel][dru][jaz_blu]0788__1.png,guitar
guitar/guitar__057__[gel][dru][jaz_blu]0788__2.png,guitar
guitar/guitar__057__[gel][dru][jaz_blu]0788__3.png,guitar
guitar/guitar__060__[gel][dru][jaz_blu]0824__1.png,guitar
guitar/guitar__060__[gel][dru][jaz_blu]0824__2.png,guitar
guitar/guitar__060__[gel][dru][jaz_blu]0824__3.png,guitar
guitar/guitar__062__[gel][dru][pop_roc]0830__1.png,guitar
guitar/guitar__062__[gel][dru][pop_roc]0830__2.png,guitar
guitar/guitar__062__[gel][dru][pop_roc]0830__3.png,guitar
guitar/guitar__063__[gel][dru][pop_roc]0851__1.png,guitar
guitar/guitar__063__[gel][dru][pop_roc]0851__2.png,guitar
guitar/guitar__063__[gel][dru][pop_roc]0851__3.png,guitar
guitar/guitar__064__[gel][dru][jaz_blu]0786__1.png,guitar
guitar/guitar__064__[gel][dru][jaz_blu]0786__2.png,guitar
guitar/guitar__064__[gel][dru][jaz_blu]0786__3.png,guitar
guitar/guitar__066__[gel][dru][jaz_blu]0820__1.png,guitar
guitar/guitar__066__[gel][dru][jaz_blu]0820__2.png,guitar
guitar/guitar__066__[gel][dru][jaz_blu]0820__3.png,guitar
guitar/guitar__068__[gac][nod][cou_fol]0774__1.png,guitar
guitar/guitar__068__[gac][nod][cou_fol]0774__2.png,guitar
guitar/guitar__068__[gac][nod][cou_fol]0774__3.png,guitar
guitar/guitar__068__[gel][dru][jaz_blu]0807__1.png,guitar
guitar/guitar__068__[gel][dru][jaz_blu]0807__2.png,guitar
guitar/guitar__068__[gel][dru][jaz_blu]0807__3.png,guitar
guitar/guitar__069__[gel][dru][cou_fol]0762__1.png,guitar
guitar/guitar__069__[gel][dru][cou_fol]0762__2.png,guitar
guitar/guitar__069__[gel][dru][cou_fol]0762__3.png,guitar
guitar/guitar__071__[gel][dru][cou_fol]0754__1.png,guitar
guitar/guitar__071__[gel][dru][cou_fol]0754__2.png,guitar
guitar/guitar__071__[gel][dru][cou_fol]0754__3.png,guitar
guitar/guitar__072__[gel][dru][pop_roc]0956__1.png,guitar
guitar/guitar__072__[gel][dru][pop_roc]0956__2.png,guitar
guitar/guitar__072__[gel][dru][pop_roc]0956__3.png,guitar
guitar/guitar__073__[gel][dru][jaz_blu]0811__1.png,guitar
guitar/guitar__073__[gel][dru][jaz_blu]0811__2.png,guitar
guitar/guitar__073__[gel][dru][jaz_blu]0811__3.png,guitar
guitar/guitar__074__[gel][nod][jaz_blu]0792__1.png,guitar
guitar/guitar__074__[gel][nod][jaz_blu]0792__2.png,guitar
guitar/guitar__074__[gel][nod][jaz_blu]0792__3.png,guitar
guitar/guitar__075__[gel][nod][cou_fol]0752__1.png,guitar
guitar/guitar__075__[gel][nod][cou_fol]0752__2.png,guitar
guitar/guitar__075__[gel][nod][cou_fol]0752__3.png,guitar
guitar/guitar__076__[gel][dru][pop_roc]0861__1.png,guitar
guitar/guitar__076__[gel][dru][pop_roc]0861__2.png,guitar
guitar/guitar__076__[gel][dru][pop_roc]0861__3.png,guitar
guitar/guitar__077__[gel][dru][cou_fol]0749__1.png,guitar
guitar/guitar__077__[gel][dru][cou_fol]0749__2.png,guitar
guitar/guitar__079__[gel][dru][pop_roc]0958__1.png,guitar
guitar/guitar__079__[gel][dru][pop_roc]0958__2.png,guitar
guitar/guitar__079__[gel][dru][pop_roc]0958__3.png,guitar
guitar/guitar__080__[gac][dru][cou_fol]0672__1.png,guitar
guitar/guitar__080__[gac][dru][cou_fol]0672__2.png,guitar
guitar/guitar__080__[gac][dru][cou_fol]0672__3.png,guitar
guitar/guitar__080__[gel][dru][jaz_blu]0809__1.png,guitar
guitar/guitar__080__[gel][dru][jaz_blu]0809__2.png,guitar
guitar/guitar__080__[gel][dru][jaz_blu]0809__3.png,guitar
guitar/guitar__081__[gel][dru][pop_roc]0966__1.png,guitar
guitar/guitar__081__[gel][dru][pop_roc]0966__2.png,guitar
guitar/guitar__081__[gel][dru][pop_roc]0966__3.png,guitar
guitar/guitar__082__[gac][nod][cou_fol]0670__1.png,guitar
guitar/guitar__082__[gac][nod][cou_fol]0670__2.png,guitar
guitar/guitar__082__[gac][nod][cou_fol]0670__3.png,guitar
guitar/guitar__082__[gel][dru][jaz_blu]0779__1.png,guitar
guitar/guitar__082__[gel][dru][jaz_blu]0779__2.png,guitar
guitar/guitar__082__[gel][dru][jaz_blu]0779__3.png,guitar
guitar/guitar__083__[gel][dru][cou_fol]0748__1.png,guitar
guitar/guitar__083__[gel][dru][cou_fol]0748__2.png,guitar
guitar/guitar__084__[gel][dru][jaz_blu]0804__1.png,guitar
guitar/guitar__084__[gel][dru][jaz_blu]0804__2.png,guitar
guitar/guitar__084__[gel][dru][jaz_blu]0804__3.png,guitar
guitar/guitar__088__[gel][nod][cou_fol]0755__1.png,guitar
guitar/guitar__088__[gel][nod][cou_fol]0755__2.png,guitar
guitar/guitar__088__[gel][nod][cou_fol]0755__3.png,guitar
guitar/guitar__090__[gel][dru][jaz_blu]0781__1.png,guitar
guitar/guitar__090__[gel][dru][jaz_blu]0781__2.png,guitar
guitar/guitar__090__[gel][dru][jaz_blu]0781__3.png,guitar
guitar/guitar__092__[gac][nod][pop_roc]0525__1.png,guitar
guitar/guitar__092__[gac][nod][pop_roc]0525__2.png,guitar
guitar/guitar__092__[gac][nod][pop_roc]0525__3.png,guitar
guitar/guitar__092__[gel][dru][jaz_blu]0797__1.png,guitar
guitar/guitar__092__[gel][dru][jaz_blu]0797__2.png,guitar
guitar/guitar__092__[gel][dru][jaz_blu]0797__3.png,guitar
guitar/guitar__094__[gel][dru][pop_roc]0844__1.png,guitar
guitar/guitar__094__[gel][dru][pop_roc]0844__2.png,guitar
guitar/guitar__094__[gel][dru][pop_roc]0844__3.png,guitar
guitar/guitar__096__[gel][dru][pop_roc]0838__1.png,guitar
guitar/guitar__096__[gel][dru][pop_roc]0838__2.png,guitar
guitar/guitar__096__[gel][dru][pop_roc]0838__3.png,guitar
guitar/guitar__097__[gel][dru][jaz_blu]0778__1.png,guitar
guitar/guitar__097__[gel][dru][jaz_blu]0778__2.png,guitar
guitar/guitar__097__[gel][dru][jaz_blu]0778__3.png,guitar
guitar/guitar__098__[gel][dru][pop_roc]0837__1.png,guitar
guitar/guitar__098__[gel][dru][pop_roc]0837__2.png,guitar
guitar/guitar__098__[gel][dru][pop_roc]0837__3.png,guitar
guitar/guitar__099__[gel][dru][pop_roc]0959__1.png,guitar
guitar/guitar__099__[gel][dru][pop_roc]0959__2.png,guitar
guitar/guitar__099__[gel][dru][pop_roc]0959__3.png,guitar
guitar/guitar__102__[gel][dru][jaz_blu]0813__1.png,guitar
guitar/guitar__102__[gel][dru][jaz_blu]0813__2.png,guitar
guitar/guitar__102__[gel][dru][jaz_blu]0813__3.png,guitar
guitar/guitar__103__[gel][dru][cou_fol]0676__1.png,guitar
guitar/guitar__103__[gel][dru][cou_fol]0676__2.png,guitar
guitar/guitar__103__[gel][dru][cou_fol]0676__3.png,guitar
guitar/guitar__105__[gel][dru][pop_roc]0964__1.png,guitar
guitar/guitar__105__[gel][dru][pop_roc]0964__2.png,guitar
guitar/guitar__105__[gel][dru][pop_roc]0964__3.png,guitar
guitar/guitar__108__[gel][dru][pop_roc]0955__1.png,guitar
guitar/guitar__108__[gel][dru][pop_roc]0955__2.png,guitar
guitar/guitar__108__[gel][dru][pop_roc]0955__3.png,guitar
guitar/guitar__110__[gac][nod][cou_fol]0771__1.png,guitar
guitar/guitar__110__[gac][nod][cou_fol]0771__2.png,guitar
guitar/guitar__110__[gac][nod][cou_fol]0771__3.png,guitar
guitar/guitar__116__[gel][dru][pop_roc]0968__1.png,guitar
guitar/guitar__116__[gel][dru][pop_roc]0968__2.png,guitar
guitar/guitar__116__[gel][dru][pop_roc]0968__3.png,guitar
guitar/guitar__122__[gac][nod][cou_fol]0715__1.png,guitar
guitar/guitar__122__[gac][nod][cou_fol]0715__2.png,guitar
guitar/guitar__122__[gac][nod][cou_fol]0715__3.png,guitar
guitar/guitar__122__[gel][dru][pop_roc]0847__1.png,guitar
guitar/guitar__122__[gel][dru][pop_roc]0847__2.png,guitar
guitar/guitar__122__[gel][dru][pop_roc]0847__3.png,guitar
guitar/guitar__125__[gel][dru][cou_fol]0708__1.png,guitar
guitar/guitar__125__[gel][dru][cou_fol]0708__2.png,guitar
guitar/guitar__125__[gel][dru][cou_fol]0708__3.png,guitar
guitar/guitar__131__[gac][nod][cou_fol]0767__1.png,guitar
guitar/guitar__131__[gac][nod][cou_fol]0767__2.png,guitar
guitar/guitar__131__[gel][dru][pop_roc]0945__1.png,guitar
guitar/guitar__131__[gel][dru][pop_roc]0945__2.png,guitar
guitar/guitar__131__[gel][dru][pop_roc]0945__3.png,guitar
guitar/guitar__133__[gac][dru][jaz_blu]0808__1.png,guitar
guitar/guitar__133__[gac][dru][jaz_blu]0808__2.png,guitar
guitar/guitar__133__[gac][dru][jaz_blu]0808__3.png,guitar
guitar/guitar__133__[gel][dru][pop_roc]0977__1.png,guitar
guitar/guitar__133__[gel][dru][pop_roc]0977__2.png,guitar
guitar/guitar__133__[gel][dru][pop_roc]0977__3.png,guitar
guitar/guitar__134__[gel][dru][jaz_blu]0798__1.png,guitar
guitar/guitar__134__[gel][dru][jaz_blu]0798__2.png,guitar
guitar/guitar__134__[gel][dru][jaz_blu]0798__3.png,guitar
guitar/guitar__136__[gel][dru][pop_roc]0961__1.png,guitar
guitar/guitar__136__[gel][dru][pop_roc]0961__2.png,guitar
guitar/guitar__136__[gel][dru][pop_roc]0961__3.png,guitar
guitar/guitar__137__[gac][nod][cou_fol]0717__1.png,guitar
guitar/guitar__137__[gac][nod][cou_fol]0717__2.png,guitar
guitar/guitar__137__[gac][nod][cou_fol]0717__3.png,guitar
guitar/guitar__137__[gel][dru][pop_roc]0940__1.png,guitar
guitar/guitar__137__[gel][dru][pop_roc]0940__2.png,guitar
guitar/guitar__137__[gel][dru][pop_roc]0940__3.png,guitar
guitar/guitar__139__[gel][dru][cou_fol]0764__1.png,guitar
guitar/guitar__139__[gel][dru][cou_fol]0764__2.png,guitar
guitar/guitar__139__[gel][dru][cou_fol]0764__3.png,guitar
guitar/guitar__140__[gel][dru][jaz_blu]0819__1.png,guitar
guitar/guitar__140__[gel][dru][jaz_blu]0819__2.png,guitar
guitar/guitar__140__[gel][dru][jaz_blu]0819__3.png,guitar
guitar/guitar__141__[gel][dru][pop_roc]0950__1.png,guitar
guitar/guitar__141__[gel][dru][pop_roc]0950__2.png,guitar
guitar/guitar__141__[gel][dru][pop_roc]0950__3.png,guitar
guitar/guitar__142__[gel][dru][cou_fol]0760__1.png,guitar
guitar/guitar__142__[gel][dru][cou_fol]0760__2.png,guitar
guitar/guitar__142__[gel][dru][cou_fol]0760__3.png,guitar
guitar/guitar__143__[gel][dru][pop_roc]0931__1.png,guitar
guitar/guitar__143__[gel][dru][pop_roc]0931__2.png,guitar
guitar/guitar__143__[gel][dru][pop_roc]0931__3.png,guitar
guitar/guitar__145__[gel][dru][pop_roc]0949__1.png,guitar
guitar/guitar__145__[gel][dru][pop_roc]0949__2.png,guitar
guitar/guitar__145__[gel][dru][pop_roc]0949__3.png,guitar
guitar/guitar__147__[gel][dru][pop_roc]0857__1.png,guitar
guitar/guitar__147__[gel][dru][pop_roc]0857__2.png,guitar
guitar/guitar__147__[gel][dru][pop_roc]0857__3.png,guitar
guitar/guitar__150__[gac][nod][cou_fol]0712__1.png,guitar
guitar/guitar__150__[gac][nod][cou_fol]0712__2.png,guitar
guitar/guitar__150__[gac][nod][cou_fol]0712__3.png,guitar
guitar/guitar__150__[gel][dru][pop_roc]0962__1.png,guitar
guitar/guitar__150__[gel][dru][pop_roc]0962__2.png,guitar
guitar/guitar__150__[gel][dru][pop_roc]0962__3.png,guitar
guitar/guitar__151__[gel][dru][jaz_blu]0782__1.png,guitar
guitar/guitar__151__[gel][dru][jaz_blu]0782__2.png,guitar
guitar/guitar__151__[gel][dru][jaz_blu]0782__3.png,guitar
guitar/guitar__152__[gel][dru][pop_roc]0864__1.png,guitar
guitar/guitar__152__[gel][dru][pop_roc]0864__2.png,guitar
guitar/guitar__152__[gel][dru][pop_roc]0864__3.png,guitar
guitar/guitar__153__[gel][dru][pop_roc]0946__1.png,guitar
guitar/guitar__153__[gel][dru][pop_roc]0946__2.png,guitar
guitar/guitar__153__[gel][dru][pop_roc]0946__3.png,guitar
guitar/guitar__154__[gac][nod][cou_fol]0765__1.png,guitar
guitar/guitar__154__[gac][nod][cou_fol]0765__2.png,guitar
guitar/guitar__154__[gac][nod][cou_fol]0765__3.png,guitar
guitar/guitar__154__[gel][dru][pop_roc]0836__1.png,guitar
guitar/guitar__154__[gel][dru][pop_roc]0836__2.png,guitar
guitar/guitar__154__[gel][dru][pop_roc]0836__3.png,guitar
guitar/guitar__158__[gac][nod][cou_fol]0766__1.png,guitar
guitar/guitar__158__[gac][nod][cou_fol]0766__2.png,guitar
guitar/guitar__158__[gac][nod][cou_fol]0766__3.png,guitar
guitar/guitar__159__[gac][nod][cou_fol]0718__1.png,guitar
guitar/guitar__159__[gac][nod][cou_fol]0718__2.png,guitar
guitar/guitar__159__[gac][nod][cou_fol]0718__3.png,guitar
guitar/guitar__160__[gel][dru][pop_roc]0832__1.png,guitar
guitar/guitar__160__[gel][dru][pop_roc]0832__2.png,guitar
guitar/guitar__160__[gel][dru][pop_roc]0832__3.png,guitar
guitar/guitar__161__[gel][dru][pop_roc]0840__1.png,guitar
guitar/guitar__161__[gel][dru][pop_roc]0840__2.png,guitar
guitar/guitar__161__[gel][dru][pop_roc]0840__3.png,guitar
guitar/guitar__163__[gel][nod][jaz_blu]0776__1.png,guitar
guitar/guitar__163__[gel][nod][jaz_blu]0776__2.png,guitar
guitar/guitar__163__[gel][nod][jaz_blu]0776__3.png,guitar
guitar/guitar__165__[gel][dru][cou_fol]0745__1.png,guitar
guitar/guitar__165__[gel][dru][cou_fol]0745__2.png,guitar
guitar/guitar__165__[gel][dru][cou_fol]0745__3.png,guitar
guitar/guitar__168__[gac][dru][cou_fol]0674__1.png,guitar
guitar/guitar__168__[gac][dru][cou_fol]0674__2.png,guitar
guitar/guitar__168__[gac][dru][cou_fol]0674__3.png,guitar
guitar/guitar__168__[gel][dru][jaz_blu]0826__1.png,guitar
guitar/guitar__168__[gel][dru][jaz_blu]0826__2.png,guitar
guitar/guitar__168__[gel][dru][jaz_blu]0826__3.png,guitar
guitar/guitar__169__[gel][dru][pop_roc]0835__1.png,guitar
guitar/guitar__169__[gel][dru][pop_roc]0835__2.png,guitar
guitar/guitar__169__[gel][dru][pop_roc]0835__3.png,guitar
guitar/guitar__170__[gac][nod][pop_roc]0628__1.png,guitar
guitar/guitar__170__[gac][nod][pop_roc]0628__2.png,guitar
guitar/guitar__170__[gac][nod][pop_roc]0628__3.png,guitar
guitar/guitar__170__[gel][dru][pop_roc]0944__1.png,guitar
guitar/guitar__170__[gel][dru][pop_roc]0944__2.png,guitar
guitar/guitar__170__[gel][dru][pop_roc]0944__3.png,guitar
guitar/guitar__171__[gel][dru][jaz_blu]0815__1.png,guitar
guitar/guitar__171__[gel][dru][jaz_blu]0815__2.png,guitar
guitar/guitar__171__[gel][dru][jaz_blu]0815__3.png,guitar
guitar/guitar__174__[gac][nod][cou_fol]0716__1.png,guitar
guitar/guitar__174__[gac][nod][cou_fol]0716__2.png,guitar
guitar/guitar__174__[gac][nod][cou_fol]0716__3.png,guitar
guitar/guitar__175__[gel][dru][jaz_blu]0805__1.png,guitar
guitar/guitar__175__[gel][dru][jaz_blu]0805__2.png,guitar
guitar/guitar__175__[gel][dru][jaz_blu]0805__3.png,guitar
guitar/guitar__176__[gac][nod][cou_fol]0772__1.png,guitar
guitar/guitar__176__[gac][nod][cou_fol]0772__2.png,guitar
guitar/guitar__176__[gac][nod][cou_fol]0772__3.png,guitar
guitar/guitar__176__[gel][dru][pop_roc]0982__1.png,guitar
guitar/guitar__176__[gel][dru][pop_roc]0982__2.png,guitar
guitar/guitar__176__[gel][dru][pop_roc]0982__3.png,guitar
guitar/guitar__177__[gel][nod][jaz_blu]0803__1.png,guitar
guitar/guitar__177__[gel][nod][jaz_blu]0803__2.png,guitar
guitar/guitar__177__[gel][nod][jaz_blu]0803__3.png,guitar
guitar/guitar__178__[gel][dru][cou_fol]0746__1.png,guitar
guitar/guitar__178__[gel][dru][cou_fol]0746__2.png,guitar
guitar/guitar__178__[gel][dru][cou_fol]0746__3.png,guitar
guitar/guitar__182__[gac][nod][cou_fol]0711__1.png,guitar
guitar/guitar__182__[gac][nod][cou_fol]0711__2.png,guitar
guitar/guitar__182__[gac][nod][cou_fol]0711__3.png,guitar
guitar/guitar__184__[gel][dru][pop_roc]0863__1.png,guitar
guitar/guitar__184__[gel][dru][pop_roc]0863__2.png,guitar
guitar/guitar__184__[gel][dru][pop_roc]0863__3.png,guitar
guitar/guitar__185__[gel][dru][pop_roc]0845__1.png,guitar
guitar/guitar__185__[gel][dru][pop_roc]0845__2.png,guitar
guitar/guitar__185__[gel][dru][pop_roc]0845__3.png,guitar
guitar/guitar__186__[gel][dru][cou_fol]0750__1.png,guitar
guitar/guitar__186__[gel][dru][cou_fol]0750__2.png,guitar
guitar/guitar__187__[gac][nod][pop_roc]0623__1.png,guitar
guitar/guitar__187__[gac][nod][pop_roc]0623__2.png,guitar
guitar/guitar__187__[gac][nod][pop_roc]0623__3.png,guitar
guitar/guitar__187__[gel][dru][pop_roc]0952__1.png,guitar
guitar/guitar__187__[gel][dru][pop_roc]0952__2.png,guitar
guitar/guitar__187__[gel][dru][pop_roc]0952__3.png,guitar
guitar/guitar__188__[gel][nod][jaz_blu]0795__1.png,guitar
guitar/guitar__188__[gel][nod][jaz_blu]0795__2.png,guitar
guitar/guitar__188__[gel][nod][jaz_blu]0795__3.png,guitar
guitar/guitar__189__[gel][dru][jaz_blu]0793__1.png,guitar
guitar/guitar__189__[gel][dru][jaz_blu]0793__2.png,guitar
guitar/guitar__189__[gel][dru][jaz_blu]0793__3.png,guitar
guitar/guitar__191__[gel][dru][jaz_blu]0799__1.png,guitar
guitar/guitar__191__[gel][dru][jaz_blu]0799__2.png,guitar
guitar/guitar__191__[gel][dru][jaz_blu]0799__3.png,guitar
guitar/guitar__192__[gel][dru][cou_fol]0675__1.png,guitar
guitar/guitar__192__[gel][dru][cou_fol]0675__2.png,guitar
guitar/guitar__192__[gel][dru][cou_fol]0675__3.png,guitar
guitar/guitar__193__[gac][nod][cou_fol]0719__1.png,guitar
guitar/guitar__193__[gac][nod][cou_fol]0719__2.png,guitar
guitar/guitar__193__[gac][nod][cou_fol]0719__3.png,guitar
guitar/guitar__193__[gel][dru][pop_roc]0972__1.png,guitar
guitar/guitar__193__[gel][dru][pop_roc]0972__2.png,guitar
guitar/guitar__193__[gel][dru][pop_roc]0972__3.png,guitar
guitar/guitar__194__[gel][dru][cou_fol]0753__1.png,guitar
guitar/guitar__194__[gel][dru][cou_fol]0753__2.png,guitar
guitar/guitar__194__[gel][dru][cou_fol]0753__3.png,guitar
guitar/guitar__195__[gac][nod][cou_fol]0773__1.png,guitar
guitar/guitar__195__[gac][nod][cou_fol]0773__2.png,guitar
guitar/guitar__195__[gac][nod][cou_fol]0773__3.png,guitar
guitar/guitar__195__[gel][dru][jaz_blu]0801__1.png,guitar
guitar/guitar__195__[gel][dru][jaz_blu]0801__2.png,guitar
guitar/guitar__195__[gel][dru][jaz_blu]0801__3.png,guitar
guitar/guitar__196__[gel][dru][jaz_blu]0777__1.png,guitar
guitar/guitar__196__[gel][dru][jaz_blu]0777__2.png,guitar
guitar/guitar__196__[gel][dru][jaz_blu]0777__3.png,guitar
guitar/guitar__200__[gac][nod][cou_fol]0714__1.png,guitar
guitar/guitar__200__[gac][nod][cou_fol]0714__2.png,guitar
guitar/guitar__200__[gac][nod][cou_fol]0714__3.png,guitar
guitar/guitar__202__[gac][dru][cou_fol]0673__1.png,guitar
guitar/guitar__202__[gac][dru][cou_fol]0673__2.png,guitar
guitar/guitar__202__[gac][dru][cou_fol]0673__3.png,guitar
guitar/guitar__204__[gel][dru][pop_roc]0937__1.png,guitar
guitar/guitar__204__[gel][dru][pop_roc]0937__2.png,guitar
guitar/guitar__204__[gel][dru][pop_roc]0937__3.png,guitar
guitar/guitar__208__[gel][dru][pop_roc]0981__1.png,guitar
guitar/guitar__208__[gel][dru][pop_roc]0981__2.png,guitar
guitar/guitar__208__[gel][dru][pop_roc]0981__3.png,guitar
guitar/guitar__209__[gel][nod][cou_fol]0757__1.png,guitar
guitar/guitar__209__[gel][nod][cou_fol]0757__2.png,guitar
