image,instrument,intensity
BTb-ord-C#4-ff-N-T21u.png,Bass Tuba,ff
BTb-ord-D4-ff-N-N.png,Bass Tuba,ff
BTb-ord-D#4-ff-N-N.png,Bass Tuba,ff
BTb-ord-E4-ff-N-N.png,Bass Tuba,ff
BTb-ord-F4-ff-N-N.png,Bass Tuba,ff
Hn-ord-A#1-pp-N-N.png,French Horn,pp
Hn-ord-B1-pp-N-T15d.png,French Horn,pp
Hn-ord-C2-pp-N-N.png,French Horn,pp
Hn-ord-C#2-pp-N-N.png,French Horn,pp
Hn-ord-D2-pp-N-N.png,French Horn,pp
Hn-ord-D#2-pp-N-R100u.png,French Horn,pp
Hn-ord-E2-pp-N-N.png,French Horn,pp
Hn-ord-F2-pp-N-N.png,French Horn,pp
Hn-ord-F#2-pp-N-N.png,French Horn,pp
Hn-ord-G2-pp-N-N.png,French Horn,pp
Hn-ord-G#2-pp-N-N.png,French Horn,pp
Hn-ord-A2-pp-N-R100u.png,French Horn,pp
Hn-ord-A#2-pp-N-R100d.png,French Horn,pp
Hn-ord-B2-pp-N-N.png,French Horn,pp
Hn-ord-C3-pp-N-N.png,French Horn,pp
Hn-ord-C#3-pp-N-N.png,French Horn,pp
Hn-ord-D3-pp-N-N.png,French Horn,pp
Hn-ord-D#3-pp-N-N.png,French Horn,pp
Hn-ord-E3-pp-N-N.png,French Horn,pp
Hn-ord-F3-pp-N-N.png,French Horn,pp
Hn-ord-F#3-pp-N-N.png,French Horn,pp
Hn-ord-G3-pp-N-N.png,French Horn,pp
Hn-ord-G#3-pp-N-N.png,French Horn,pp
Hn-ord-A3-pp-N-N.png,French Horn,pp
Hn-ord-A#3-pp-N-N.png,French Horn,pp
Hn-ord-B3-pp-N-N.png,French Horn,pp
Hn-ord-C4-pp-N-N.png,French Horn,pp
Hn-ord-C#4-pp-N-N.png,French Horn,pp
Hn-ord-D4-pp-N-N.png,French Horn,pp
Hn-ord-D#4-pp-N-N.png,French Horn,pp
Hn-ord-E4-pp-N-N.png,French Horn,pp
Hn-ord-F4-pp-N-N.png,French Horn,pp
Hn-ord-F#4-pp-N-T10u.png,French Horn,pp
Hn-ord-G4-pp-N-N.png,French Horn,pp
Hn-ord-G#4-pp-N-T10u.png,French Horn,pp
Hn-ord-A4-pp-N-N.png,French Horn,pp
Hn-ord-A#4-pp-N-N.png,French Horn,pp
Hn-ord-B4-pp-N-N.png,French Horn,pp
Hn-ord-C5-pp-N-N.png,French Horn,pp
Hn-ord-C#5-pp-N-N.png,French Horn,pp
Hn-ord-D5-pp-N-T10u.png,French Horn,pp
Hn-ord-D#5-pp-N-N.png,French Horn,pp
Hn-ord-E5-pp-N-N.png,French Horn,pp
Hn-ord-F5-pp-N-T11u.png,French Horn,pp
Hn-ord-G1-mf-N-T40d.png,French Horn,mf
Hn-ord-G#1-mf-N-N.png,French Horn,mf
Hn-ord-A1-mf-N-N.png,French Horn,mf
Hn-ord-A#1-mf-N-T17d.png,French Horn,mf
Hn-ord-B1-mf-N-N.png,French Horn,mf
Hn-ord-C2-mf-N-N.png,French Horn,mf
Hn-ord-C#2-mf-N-N.png,French Horn,mf
Hn-ord-D2-mf-N-N.png,French Horn,mf
Hn-ord-D#2-mf-N-N.png,French Horn,mf
Hn-ord-E2-mf-N-N.png,French Horn,mf
Hn-ord-F2-mf-N-N.png,French Horn,mf
Hn-ord-F#2-mf-N-N.png,French Horn,mf
Hn-ord-G2-mf-N-N.png,French Horn,mf
Hn-ord-G#2-mf-N-N.png,French Horn,mf
Hn-ord-A2-mf-N-N.png,French Horn,mf
Hn-ord-A#2-mf-N-N.png,French Horn,mf
Hn-ord-B2-mf-N-N.png,French Horn,mf
Hn-ord-C3-mf-N-N.png,French Horn,mf
Hn-ord-C#3-mf-N-N.png,French Horn,mf
Hn-ord-D3-mf-N-N.png,French Horn,mf
Hn-ord-D#3-mf-N-N.png,French Horn,mf
Hn-ord-E3-mf-N-N.png,French Horn,mf
Hn-ord-F3-mf-N-N.png,French Horn,mf
Hn-ord-F#3-mf-N-N.png,French Horn,mf
Hn-ord-G3-mf-N-N.png,French Horn,mf
Hn-ord-G#3-mf-N-N.png,French Horn,mf
Hn-ord-A3-mf-N-N.png,French Horn,mf
Hn-ord-A#3-mf-N-N.png,French Horn,mf
Hn-ord-B3-mf-N-N.png,French Horn,mf
Hn-ord-C4-mf-N-N.png,French Horn,mf
Hn-ord-C#4-mf-N-T12u.png,French Horn,mf
Hn-ord-D4-mf-N-N.png,French Horn,mf
Hn-ord-D#4-mf-N-N.png,French Horn,mf
Hn-ord-E4-mf-N-N.png,French Horn,mf
Hn-ord-F4-mf-N-N.png,French Horn,mf
Hn-ord-F#4-mf-N-N.png,French Horn,mf
Hn-ord-G4-mf-N-N.png,French Horn,mf
Hn-ord-G#4-mf-N-N.png,French Horn,mf
Hn-ord-A4-mf-N-N.png,French Horn,mf
Hn-ord-A#4-mf-N-N.png,French Horn,mf
Hn-ord-B4-mf-N-N.png,French Horn,mf
Hn-ord-C5-mf-N-N.png,French Horn,mf
Hn-ord-C#5-mf-N-N.png,French Horn,mf
Hn-ord-D5-mf-N-N.png,French Horn,mf
Hn-ord-D#5-mf-N-N.png,French Horn,mf
Hn-ord-E5-mf-N-T13u.png,French Horn,mf
Hn-ord-F5-mf-N-N.png,French Horn,mf
Hn-ord-B1-ff-N-N.png,French Horn,ff
Hn-ord-C2-ff-N-N.png,French Horn,ff
Hn-ord-C#2-ff-N-N.png,French Horn,ff
Hn-ord-D2-ff-N-N.png,French Horn,ff
Hn-ord-D#2-ff-N-T11u.png,French Horn,ff
Hn-ord-E2-ff-N-T18u.png,French Horn,ff
Hn-ord-F2-ff-N-T11u.png,French Horn,ff
Hn-ord-F#2-ff-N-N.png,French Horn,ff
Hn-ord-G2-ff-N-R100u.png,French Horn,ff
Hn-ord-G#2-ff-N-N.png,French Horn,ff
Hn-ord-A2-ff-N-N.png,French Horn,ff
Hn-ord-A#2-ff-N-N.png,French Horn,ff
Hn-ord-B2-ff-N-N.png,French Horn,ff
Hn-ord-C3-ff-N-N.png,French Horn,ff
Hn-ord-C#3-ff-N-N.png,French Horn,ff
Hn-ord-D3-ff-N-N.png,French Horn,ff
Hn-ord-D#3-ff-N-N.png,French Horn,ff
Hn-ord-E3-ff-N-N.png,French Horn,ff
Hn-ord-F3-ff-N-N.png,French Horn,ff
Hn-ord-F#3-ff-N-N.png,French Horn,ff
Hn-ord-G3-ff-N-N.png,French Horn,ff
Hn-ord-G#3-ff-N-N.png,French Horn,ff
Hn-ord-A3-ff-N-N.png,French Horn,ff
Hn-ord-A#3-ff-N-N.png,French Horn,ff
Hn-ord-B3-ff-N-N.png,French Horn,ff
Hn-ord-C4-ff-N-N.png,French Horn,ff
Hn-ord-C#4-ff-N-N.png,French Horn,ff
Hn-ord-D4-ff-N-N.png,French Horn,ff
Hn-ord-D#4-ff-N-N.png,French Horn,ff
Hn-ord-E4-ff-N-N.png,French Horn,ff
Hn-ord-F4-ff-N-N.png,French Horn,ff
Hn-ord-F#4-ff-N-N.png,French Horn,ff
Hn-ord-G4-ff-N-N.png,French Horn,ff
Hn-ord-G#4-ff-N-N.png,French Horn,ff
Hn-ord-A4-ff-N-N.png,French Horn,ff
Hn-ord-A#4-ff-N-N.png,French Horn,ff
Hn-ord-B4-ff-N-N.png,French Horn,ff
Hn-ord-C5-ff-N-N.png,French Horn,ff
Hn-ord-C#5-ff-N-N.png,French Horn,ff
Hn-ord-D5-ff-N-N.png,French Horn,ff
Hn-ord-D#5-ff-N-T10u.png,French Horn,ff
Hn-ord-E5-ff-N-N.png,French Horn,ff
Hn-ord-F5-ff-N-N.png,French Horn,ff
Tbn-ord-A#1-pp-N-N.png,Trombone,pp
Tbn-ord-B1-pp-N-N.png,Trombone,pp
Tbn-ord-C2-pp-N-T23d.png,Trombone,pp
Tbn-ord-C#2-pp-N-N.png,Trombone,pp
Tbn-ord-D2-pp-N-T12d.png,Trombone,pp
Tbn-ord-D#2-pp-N-T14u.png,Trombone,pp
Tbn-ord-E2-pp-N-T21u.png,Trombone,pp
Tbn-ord-F2-pp-N-N.png,Trombone,pp
Tbn-ord-F#2-pp-N-T20d.png,Trombone,pp
Tbn-ord-G2-pp-N-N.png,Trombone,pp
Tbn-ord-G#2-pp-N-T27u.png,Trombone,pp
Tbn-ord-A2-pp-N-N.png,Trombone,pp
Tbn-ord-A#2-pp-N-N.png,Trombone,pp
Tbn-ord-B2-pp-N-T19d.png,Trombone,pp
Tbn-ord-C3-pp-N-T25d.png,Trombone,pp
Tbn-ord-C#3-pp-N-N.png,Trombone,pp
Tbn-ord-D3-pp-N-T11u.png,Trombone,pp
Tbn-ord-D#3-pp-N-N.png,Trombone,pp
Tbn-ord-E3-pp-N-N.png,Trombone,pp
Tbn-ord-F3-pp-N-N.png,Trombone,pp
Tbn-ord-F#3-pp-N-N.png,Trombone,pp
Tbn-ord-G3-pp-N-N.png,Trombone,pp
Tbn-ord-G#3-pp-N-N.png,Trombone,pp
Tbn-ord-A3-pp-N-T14u.png,Trombone,pp
Tbn-ord-A#3-pp-N-N.png,Trombone,pp
Tbn-ord-B3-pp-N-N.png,Trombone,pp
Tbn-ord-C4-pp-N-N.png,Trombone,pp
Tbn-ord-C#4-pp-N-N.png,Trombone,pp
Tbn-ord-D4-pp-N-N.png,Trombone,pp
Tbn-ord-D#4-pp-N-T13u.png,Trombone,pp
Tbn-ord-E4-pp-N-N.png,Trombone,pp
Tbn-ord-F4-pp-N-N.png,Trombone,pp
Tbn-ord-F#4-pp-N-T10u.png,Trombone,pp
Tbn-ord-G4-pp-N-N.png,Trombone,pp
Tbn-ord-G#4-pp-N-N.png,Trombone,pp
Tbn-ord-A4-pp-N-N.png,Trombone,pp
Tbn-ord-A#4-pp-N-N.png,Trombone,pp
Tbn-ord-B4-pp-N-N.png,Trombone,pp
Tbn-ord-C5-pp-N-N.png,Trombone,pp
Tbn-ord-A#1-mf-N-N.png,Trombone,mf
Tbn-ord-B1-mf-N-T14d.png,Trombone,mf
Tbn-ord-C2-mf-N-T44d.png,Trombone,mf
Tbn-ord-C#2-mf-N-T33d.png,Trombone,mf
Tbn-ord-D2-mf-N-T26d.png,Trombone,mf
Tbn-ord-D#2-mf-N-N.png,Trombone,mf
Tbn-ord-E2-mf-N-N.png,Trombone,mf
Tbn-ord-F2-mf-N-N.png,Trombone,mf
Tbn-ord-F#2-mf-N-T28d.png,Trombone,mf
Tbn-ord-G2-mf-N-N.png,Trombone,mf
Tbn-ord-G#2-mf-N-N.png,Trombone,mf
Tbn-ord-A2-mf-N-N.png,Trombone,mf
Tbn-ord-A#2-mf-N-N.png,Trombone,mf
Tbn-ord-B2-mf-N-T26d.png,Trombone,mf
Tbn-ord-C3-mf-N-T18d.png,Trombone,mf
Tbn-ord-C#3-mf-N-N.png,Trombone,mf
Tbn-ord-D3-mf-N-N.png,Trombone,mf
Tbn-ord-D#3-mf-N-N.png,Trombone,mf
Tbn-ord-E3-mf-N-N.png,Trombone,mf
Tbn-ord-F3-mf-N-N.png,Trombone,mf
Tbn-ord-F#3-mf-N-N.png,Trombone,mf
Tbn-ord-G3-mf-N-T18d.png,Trombone,mf
Tbn-ord-G#3-mf-N-N.png,Trombone,mf
Tbn-ord-A3-mf-N-N.png,Trombone,mf
Tbn-ord-A#3-mf-N-N.png,Trombone,mf
Tbn-ord-B3-mf-N-N.png,Trombone,mf
Tbn-ord-C4-mf-N-N.png,Trombone,mf
Tbn-ord-C#4-mf-N-T13d.png,Trombone,mf
Tbn-ord-D4-mf-N-N.png,Trombone,mf
Tbn-ord-D#4-mf-N-N.png,Trombone,mf
Tbn-ord-E4-mf-N-T10u.png,Trombone,mf
Tbn-ord-F4-mf-N-N.png,Trombone,mf
Tbn-ord-F#4-mf-N-T10u.png,Trombone,mf
Tbn-ord-G4-mf-N-N.png,Trombone,mf
Tbn-ord-G#4-mf-N-N.png,Trombone,mf
Tbn-ord-A4-mf-N-N.png,Trombone,mf
Tbn-ord-A#4-mf-N-N.png,Trombone,mf
Tbn-ord-B4-mf-N-N.png,Trombone,mf
Tbn-ord-C5-mf-N-T23u.png,Trombone,mf
Tbn-ord-A#1-ff-N-T14d.png,Trombone,ff
Tbn-ord-B1-ff-N-T27d.png,Trombone,ff
Tbn-ord-C2-ff-N-T58d.png,Trombone,ff
Tbn-ord-C#2-ff-N-T21d.png,Trombone,ff
Tbn-ord-D2-ff-N-T37d.png,Trombone,ff
Tbn-ord-D#2-ff-N-N.png,Trombone,ff
Tbn-ord-E2-ff-N-T12d.png,Trombone,ff
Tbn-ord-F2-ff-N-N.png,Trombone,ff
Tbn-ord-F#2-ff-N-T24d.png,Trombone,ff
Tbn-ord-G2-ff-N-N.png,Trombone,ff
Tbn-ord-G#2-ff-N-T15u.png,Trombone,ff
Tbn-ord-A2-ff-N-N.png,Trombone,ff
Tbn-ord-A#2-ff-N-N.png,Trombone,ff
Tbn-ord-B2-ff-N-T26d.png,Trombone,ff
Tbn-ord-C3-ff-N-T25d.png,Trombone,ff
Tbn-ord-C#3-ff-N-N.png,Trombone,ff
Tbn-ord-D3-ff-N-N.png,Trombone,ff
Tbn-ord-D#3-ff-N-N.png,Trombone,ff
Tbn-ord-E3-ff-N-N.png,Trombone,ff
Tbn-ord-F3-ff-N-N.png,Trombone,ff
Tbn-ord-F#3-ff-N-N.png,Trombone,ff
Tbn-ord-G3-ff-N-N.png,Trombone,ff
Tbn-ord-G#3-ff-N-T10u.png,Trombone,ff
Tbn-ord-A3-ff-N-N.png,Trombone,ff
Tbn-ord-A#3-ff-N-N.png,Trombone,ff
Tbn-ord-B3-ff-N-N.png,Trombone,ff
Tbn-ord-C4-ff-N-N.png,Trombone,ff
Tbn-ord-C#4-ff-N-N.png,Trombone,ff
Tbn-ord-D4-ff-N-N.png,Trombone,ff
Tbn-ord-D#4-ff-N-N.png,Trombone,ff
Tbn-ord-E4-ff-N-N.png,Trombone,ff
Tbn-ord-F4-ff-N-N.png,Trombone,ff
Tbn-ord-F#4-ff-N-T10u.png,Trombone,ff
Tbn-ord-G4-ff-N-N.png,Trombone,ff
Tbn-ord-G#4-ff-N-N.png,Trombone,ff
Tbn-ord-A4-ff-N-N.png,Trombone,ff
Tbn-ord-A#4-ff-N-N.png,Trombone,ff
Tbn-ord-B4-ff-N-N.png,Trombone,ff
Tbn-ord-C5-ff-N-T24u.png,Trombone,ff
TpC-ord-F#3-pp-N-N.png,Trumpet in C,pp
TpC-ord-G3-pp-N-N.png,Trumpet in C,pp
TpC-ord-G#3-pp-N-N.png,Trumpet in C,pp
TpC-ord-A3-pp-N-T10d.png,Trumpet in C,pp
TpC-ord-A#3-pp-N-N.png,Trumpet in C,pp
TpC-ord-B3-pp-N-N.png,Trumpet in C,pp
TpC-ord-C4-pp-N-T10d.png,Trumpet in C,pp
TpC-ord-C#4-pp-N-T11u.png,Trumpet in C,pp
TpC-ord-D4-pp-N-T18u.png,Trumpet in C,pp
TpC-ord-D#4-pp-N-N.png,Trumpet in C,pp
TpC-ord-E4-pp-N-N.png,Trumpet in C,pp
TpC-ord-F4-pp-N-T12u.png,Trumpet in C,pp
TpC-ord-F#4-pp-N-T12u.png,Trumpet in C,pp
TpC-ord-G4-pp-N-N.png,Trumpet in C,pp
TpC-ord-G#4-pp-N-N.png,Trumpet in C,pp
TpC-ord-A4-pp-N-N.png,Trumpet in C,pp
TpC-ord-A#4-pp-N-N.png,Trumpet in C,pp
TpC-ord-B4-pp-N-N.png,Trumpet in C,pp
TpC-ord-C5-pp-N-T11d.png,Trumpet in C,pp
TpC-ord-C#5-pp-N-N.png,Trumpet in C,pp
TpC-ord-D5-pp-N-N.png,Trumpet in C,pp
TpC-ord-D#5-pp-N-N.png,Trumpet in C,pp
TpC-ord-E5-pp-N-T31d.png,Trumpet in C,pp
TpC-ord-F5-pp-N-T12d.png,Trumpet in C,pp
TpC-ord-F#5-pp-N-T22d.png,Trumpet in C,pp
TpC-ord-G5-pp-N-T25d.png,Trumpet in C,pp
TpC-ord-G#5-pp-N-T23d.png,Trumpet in C,pp
TpC-ord-A5-pp-N-T26d.png,Trumpet in C,pp
TpC-ord-A#5-pp-N-N.png,Trumpet in C,pp
TpC-ord-B5-pp-N-N.png,Trumpet in C,pp
TpC-ord-C6-pp-N-N.png,Trumpet in C,pp
TpC-ord-C#6-pp-N-N.png,Trumpet in C,pp
TpC-ord-D6-pp-N-N.png,Trumpet in C,pp
TpC-ord-F#3-mf-N-T23u.png,Trumpet in C,mf
TpC-ord-G3-mf-N-T12u.png,Trumpet in C,mf
TpC-ord-G#3-mf-N-N.png,Trumpet in C,mf
TpC-ord-A3-mf-N-N.png,Trumpet in C,mf
TpC-ord-A#3-mf-N-N.png,Trumpet in C,mf
TpC-ord-B3-mf-N-N.png,Trumpet in C,mf
TpC-ord-C4-mf-N-N.png,Trumpet in C,mf
TpC-ord-C#4-mf-N-T17u.png,Trumpet in C,mf
TpC-ord-D4-mf-N-T13u.png,Trumpet in C,mf
TpC-ord-D#4-mf-N-T16u.png,Trumpet in C,mf
TpC-ord-E4-mf-N-T11u.png,Trumpet in C,mf
TpC-ord-F4-mf-N-T25u.png,Trumpet in C,mf
TpC-ord-F#4-mf-N-T16u.png,Trumpet in C,mf
TpC-ord-G4-mf-N-T15u.png,Trumpet in C,mf
TpC-ord-G#4-mf-N-N.png,Trumpet in C,mf
TpC-ord-A4-mf-N-T19u.png,Trumpet in C,mf
TpC-ord-A#4-mf-N-N.png,Trumpet in C,mf
TpC-ord-B4-mf-N-N.png,Trumpet in C,mf
TpC-ord-C5-mf-N-N.png,Trumpet in C,mf
TpC-ord-C#5-mf-N-T17u.png,Trumpet in C,mf
TpC-ord-D5-mf-N-T14u.png,Trumpet in C,mf
TpC-ord-D#5-mf-N-N.png,Trumpet in C,mf
TpC-ord-E5-mf-N-R100u.png,Trumpet in C,mf
TpC-ord-F5-mf-N-T11d.png,Trumpet in C,mf
TpC-ord-F#5-mf-N-T10d.png,Trumpet in C,mf
TpC-ord-G5-mf-N-N.png,Trumpet in C,mf
TpC-ord-G#5-mf-N-N.png,Trumpet in C,mf
TpC-ord-A5-mf-N-N.png,Trumpet in C,mf
TpC-ord-A#5-mf-N-N.png,Trumpet in C,mf
TpC-ord-B5-mf-N-T13u.png,Trumpet in C,mf
TpC-ord-C6-mf-N-T11u.png,Trumpet in C,mf
TpC-ord-C#6-mf-N-T10u.png,Trumpet in C,mf
TpC-ord-D6-mf-N-N.png,Trumpet in C,mf
TpC-ord-G3-ff-N-T21u.png,Trumpet in C,ff
TpC-ord-G#3-ff-N-T23u_R100d.png,Trumpet in C,ff
TpC-ord-A3-ff-N-T23u.png,Trumpet in C,ff
TpC-ord-A#3-ff-N-T23u_R100u.png,Trumpet in C,ff
TpC-ord-B3-ff-N-R100d.png,Trumpet in C,ff
TpC-ord-C4-ff-N-N.png,Trumpet in C,ff
TpC-ord-C#4-ff-N-T39u.png,Trumpet in C,ff
TpC-ord-D4-ff-N-T27u.png,Trumpet in C,ff
TpC-ord-D#4-ff-N-N.png,Trumpet in C,ff
TpC-ord-E4-ff-N-N.png,Trumpet in C,ff
TpC-ord-F4-ff-N-T17u.png,Trumpet in C,ff
TpC-ord-F#4-ff-N-T14u.png,Trumpet in C,ff
TpC-ord-G4-ff-N-N.png,Trumpet in C,ff
TpC-ord-G#4-ff-N-N.png,Trumpet in C,ff
TpC-ord-A4-ff-N-T22u.png,Trumpet in C,ff
TpC-ord-A#4-ff-N-N.png,Trumpet in C,ff
TpC-ord-B4-ff-N-N.png,Trumpet in C,ff
TpC-ord-C5-ff-N-N.png,Trumpet in C,ff
TpC-ord-C#5-ff-N-N.png,Trumpet in C,ff
TpC-ord-D5-ff-N-N.png,Trumpet in C,ff
TpC-ord-D#5-ff-N-N.png,Trumpet in C,ff
TpC-ord-E5-ff-N-N.png,Trumpet in C,ff
TpC-ord-F5-ff-N-N.png,Trumpet in C,ff
TpC-ord-F#5-ff-N-N.png,Trumpet in C,ff
TpC-ord-G5-ff-N-N.png,Trumpet in C,ff
TpC-ord-G#5-ff-N-N.png,Trumpet in C,ff
TpC-ord-A5-ff-N-T13u.png,Trumpet in C,ff
TpC-ord-A#5-ff-N-N.png,Trumpet in C,ff
TpC-ord-B5-ff-N-N.png,Trumpet in C,ff
TpC-ord-C6-ff-N-T17u.png,Trumpet in C,ff
Acc-ord-E1-pp-N-N.png,Accordion,pp
Acc-ord-F1-pp-N-N.png,Accordion,pp
Acc-ord-F#1-pp-N-N.png,Accordion,pp
Acc-ord-G1-pp-N-N.png,Accordion,pp
Acc-ord-G#1-pp-N-N.png,Accordion,pp
Acc-ord-A1-pp-N-N.png,Accordion,pp
Acc-ord-A#1-pp-N-N.png,Accordion,pp
Acc-ord-B1-pp-N-N.png,Accordion,pp
Acc-ord-C2-pp-N-N.png,Accordion,pp
Acc-ord-C#2-pp-N-N.png,Accordion,pp
Acc-ord-D2-pp-N-N.png,Accordion,pp
Acc-ord-D#2-pp-N-N.png,Accordion,pp
Acc-ord-E2-pp-N-N.png,Accordion,pp
Acc-ord-E2-pp-alt1-N.png,Accordion,pp
Acc-ord-F2-pp-N-N.png,Accordion,pp
Acc-ord-F2-pp-alt1-N.png,Accordion,pp
